Id,account_length,international_plan,number_vmail_messages,total_day_calls,total_day_charge,total_eve_calls,total_eve_charge,total_night_calls,total_night_charge,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
1,0.698941489,0,0.4807692308,0.502823758,1.5740740148,-0.0600771376,-0.0638490671,-0.4469278247,0.8762863844,-0.584235775,-0.0955088015,1,0
2,0.1698488236,0,0.5,1.1584221025,-0.3470816604,0.1416932657,-0.1010894297,0.1543742984,1.0698175805,-0.584235775,1.2459823143,1,0
3,0.9256954885,0,0,0.7045463255,1.1712862625,0.4947914715,-1.5720837509,0.2044828086,-0.7467366017,0.2299166428,0.6959709568,0,0
4,-0.4096336196,1,0,-1.4639712756,2.2104568323,-0.6149457466,-2.7451551716,-0.5471448452,-0.0693774151,1.0440690605,-1.329680628,2,0
5,-0.636387619,1,0,0.6541156836,-0.2521154424,1.1001026814,-1.0344260164,1.056327483,-0.2673070475,-0.584235775,-0.055264068,3,0
6,0.4469926007,1,0,-0.1023439446,0.8001539161,0.0408080641,0.3946728969,0.9060019522,0.0713725458,0.6369928516,-1.4369999173,0,0
7,0.5225772672,0,0.4615384615,-0.6066503635,0.7030045666,0.3939062698,2.9246900285,0.9060019522,0.2429115606,1.0440690605,-0.9943078491,3,0
8,1.1776443768,1,0,-1.0605261405,-0.432223787,-0.3122901417,-1.9305222406,-0.1963852734,0.2253178155,0.6369928516,-1.1418718718,0,0
9,0.4217977119,0,0,-0.1527745865,0.0786289722,-1.0184865532,2.9875331403,-0.4970363349,0.3044896684,-0.1771595661,-0.565030692,1,0
10,1.0264750438,1,0.7115384615,-0.808372931,1.4529102194,0.5452340723,0.4226031689,-0.1462767631,2.4949109341,0.2299166428,0.3337683556,0,0
11,-0.8883365073,0,0,1.8644510889,-0.9496259404,-0.8671587508,0.5506169152,0.5552423804,0.1681381439,0.6369928516,0.8837797131,4,1
12,-0.6615825079,0,0,1.36014467,0.1375735213,2.4116103028,-0.7365031159,-0.2966022939,-0.0869711602,0.2299166428,-0.4174666693,0,0
13,1.7067370423,0,0,-0.2032052284,-0.955083769,-1.4724699607,-1.893281878,1.4070870548,-1.1733849205,-0.9913119838,0.3337683556,1,0
14,-0.1324898424,0,0,-0.6066503635,-0.439864747,-1.2706995574,0.9300031088,0.7556764215,-0.1617445769,0.2299166428,0.7362156903,3,0
15,-0.9639211738,0,0,-1.5144019174,-1.105719839,-1.2202569565,2.1077295748,-0.0460597426,0.0537788007,0.6369928516,1.0313437358,4,0
16,1.5303728205,0,0,-1.6656938431,2.8315577295,-0.1609623392,2.3172066142,1.4070870548,-0.7863225281,1.8582214782,-1.7589577851,4,1
17,-0.3844387307,0,0.5192307692,1.9653123727,0.2991252485,-0.514060545,1.5886920216,-1.2486639887,-2.1982205729,-0.1771595661,1.2862270478,1,0
18,-0.1828796201,0,0,0.7045463255,0.1932433732,0.5452340723,0.3481224437,1.056327483,-1.4021036069,-0.584235775,-0.7796692705,3,0
19,-0.6111927302,0,0.6346153846,-1.716124485,0.1746867559,-1.7751255656,0.2410564014,0.4049168497,-0.6851584938,0.2299166428,-0.0955088015,1,0
20,-0.6867773967,0,0,-0.5057890797,0.8187105334,-0.6149457466,-0.8133113637,-1.298772499,-0.1485492681,-0.9913119838,0.9910990023,1,0
21,1.1776443768,0,0,0.8558382512,-0.4671538901,-0.3627327425,0.7717315679,1.657629606,0.1681381439,-0.1771595661,0.119129777,0,0
22,-0.5859978414,0,0,-0.5562197216,-2.1874614721,1.0496600805,-0.6084893696,-1.7998576016,0.1813334527,0.6369928516,-1.6516384958,5,1
23,0.7493312667,0,0,0.6036850418,0.0502482633,-0.0600771376,-2.5263680416,-1.098338458,-0.3684710819,5.9289835669,-0.2699026465,0,0
24,0.2706283789,0,0,0.1498092648,-1.2967438408,0.0912506649,-1.2532131465,0.2545913189,-0.2145258122,0.6369928516,-0.9272332933,2,0
25,0.7997210444,0,0,-0.7075116473,-1.8403435717,-1.4220273598,0.8811251329,0.7556764215,0.726739551,-0.9913119838,0.0118104878,0,0
26,1.8579063753,0,0,-1.2118180661,-1.0391343298,0.5956766731,1.5118837738,0.7556764215,0.9950441638,0.2299166428,1.9033129611,3,0
27,-1.089895618,0,0.75,0.7549769674,0.6069467828,0.5956766731,-0.1895352908,0.7556764215,-0.3508773368,-0.584235775,-0.2699026465,0,0
28,-1.1654802845,0,0,-1.3631099918,-0.8535681566,-0.0096345368,-0.8924471341,-1.5994235605,-1.9475097052,-0.1771595661,1.6081849156,3,0
29,-2.0221065048,0,0,0.4523931161,0.1801445845,-0.8167161499,1.1394801482,0.1042657881,-0.3728695182,0.6369928516,-1.4369999173,0,0
30,-1.2914547287,0,0,0.8558382512,-1.1319174164,0.4443488707,0.2852793319,-0.4970363349,-0.4300491898,-1.3983881927,0.3069385333,1,0
31,1.0516699327,0,0,-0.2536358703,-1.771574931,-1.8760107672,-1.2648507598,2.4092572599,0.9906457276,0.6369928516,1.4203761594,2,0
32,-0.636387619,0,0,0.2506705486,0.8503659394,0.343463669,0.017614226,-0.0961682529,0.9070754383,0.2299166428,0.0118104878,1,0
33,1.8075165976,0,0,1.0575608187,0.5883901655,0.7470044756,-3.3526385859,-1.098338458,1.8395439289,2.2652976871,0.8435349796,3,0
34,-2.2236656154,0,0,0.9062688931,1.2859006635,0.9487748789,1.0231040152,-0.4970363349,1.5800361886,-0.584235775,0.5618218453,1,1
35,-1.089895618,0,0.4807692308,-0.3040665122,-0.0643661378,-1.2706995574,-0.1103995203,0.8057849317,0.2605053057,-0.1771595661,-0.7125947147,0,0
36,-0.7119722855,0,0.7115384615,-1.0100954986,0.7368431041,0.0912506649,0.3295022624,-1.4490980298,-0.9402677978,0.6369928516,1.6081849156,3,0
37,-1.6189882835,0,0.5769230769,1.4105753119,-0.6308887488,-1.0184865532,-0.7551232972,0.4550253599,-1.4065020431,0.6369928516,1.5411103598,0,0
38,-0.5608029525,0,0,-1.8169857688,-0.9179705344,0.7974470764,0.4551884861,0.4049168497,0.5420052274,0.2299166428,-0.0955088015,1,0
39,0.9005005997,1,0.6346153846,0.3011011904,0.4377540955,-0.0600771376,-0.2570334479,0.3548083394,-1.9519081414,0.6369928516,0.0922999547,3,0
40,1.2280341545,0,0,-0.3040665122,-0.7400453213,-0.4131753433,1.4071452541,0.4049168497,-0.2409164299,1.8582214782,0.3069385333,1,0
41,-0.0569051759,0,0,0.0993786229,-1.0020210952,-0.7662735491,-0.6690049588,1.7578466266,-0.2497133024,-0.9913119838,-0.31014738,3,0
42,0.8753057108,1,0.7884615385,-0.7579422892,-0.1331347784,0.343463669,0.0641646792,-1.098338458,-1.547252004,4.3006787314,1.5679401821,0,1
43,-1.6693780611,0,0,-0.9092342148,-1.0293102383,-0.1105197384,1.6142947709,-1.098338458,2.2002157036,-0.1771595661,-0.0955088015,2,0
44,1.5051779316,0,0,-1.1613874242,-1.7530183137,0.4947914715,-0.6992627533,-0.3968193144,-0.434447626,-0.1771595661,-0.390636847,3,0
45,-0.9135313962,0,0,-1.6656938431,-0.4878936389,0.8983322781,0.497083894,-0.6974703759,1.2853409581,-0.584235775,-2.4431182541,1,0
46,-1.0395058403,0,0.5384615385,-0.1527745865,-1.1024451418,-0.4131753433,0.2457114467,0.8057849317,-0.7379397291,0.2299166428,-0.6321052478,2,0
47,-0.8883365073,0,0,1.0071301768,0.5752913768,1.1001026814,-0.7527957745,0.9060019522,-1.3009395725,0.2299166428,1.0581735581,3,0
48,1.0516699327,0,0,1.6627285214,0.1244747326,-1.3211421582,-1.3067461676,1.3569785445,0.8279035853,0.2299166428,-1.0345525825,2,0
49,0.4721874895,0,0,0.7045463255,-0.3929274209,0.8478896772,0.606477459,-0.4469278247,-1.133798994,-0.584235775,-0.5247859585,5,1
50,-0.0821000647,0,0.4615384615,1.7635898051,-0.8743079054,-2.1282237714,0.3271747398,-1.0482299477,-2.5676892201,-0.584235775,0.2666937998,1,0
51,-1.2158700622,0,0,0.4019624742,0.2150746877,-0.2114049401,1.3675773689,-0.6473618657,0.7223411147,0.2299166428,-0.8869885598,3,0
52,-1.0143109515,0,0,-2.170000262,0.7477587613,0.7470044756,0.2061435615,1.457195565,0.9642551099,-0.584235775,-1.2491911611,1,0
53,-2.2740553931,0,0,0.6036850418,0.1081012467,-1.7246829648,-0.2058279494,-2.1506171733,1.6328174239,0.6369928516,0.4142578225,2,0
54,-0.1072949536,0,0,0.8558382512,-0.3732792378,-1.6742403639,1.3233544383,-1.5994235605,0.5552005362,0.2299166428,-0.3503921135,2,0
55,-0.3340489531,0,0,-0.8588035729,-0.5435634909,0.7974470764,0.3760527157,1.3569785445,0.0713725458,-0.584235775,-0.2028280907,5,1
56,-0.485218286,0,0,-1.6656938431,-0.0883805837,-0.7662735491,0.962588426,-0.0961682529,1.3821065562,-0.584235775,-0.0284342457,1,0
57,1.0264750438,0,0,-0.1023439446,-0.9911054379,-1.9264533681,-0.4083224208,1.4070870548,-1.1777833568,-0.9913119838,-0.819914004,1,0
58,0.5225772672,0,0.5769230769,1.4610059538,0.3362384832,-1.1698143557,-2.4798175884,-1.1484469682,-0.3816663907,-0.584235775,-1.6113937623,3,1
59,-0.8127518409,0,0,-1.5144019174,-0.5839514227,3.218691916,0.9067278822,0.1543742984,-1.3977051706,-0.584235775,0.6691411345,3,0
60,0.6233568225,0,0,0.1498092648,0.9093104886,1.3018730847,-0.4595279193,-0.2464937836,-0.2189242485,1.4511452694,0.6288964011,1,0
61,1.8579063753,0,0,-0.1527745865,0.2194409506,-0.3122901417,-0.6084893696,-2.3009427041,-0.6675647487,-0.1771595661,0.4142578225,1,0
62,0.3966028231,0,0.6538461538,-0.8588035729,1.6384763926,2.1089546978,-0.4432352607,0.3046998292,-0.6763616212,-0.584235775,0.4813323783,2,0
63,-0.6615825079,0,0.6346153846,-0.4553584378,0.2489132252,-0.2114049401,0.8997453142,-0.3968193144,-1.2349630284,-0.584235775,1.5679401821,2,0
64,1.2280341545,0,0.5384615385,-0.404927796,0.0076772001,-1.8255681664,-0.2547059253,-2.3510512144,1.2897393944,-0.584235775,0.8435349796,3,0
65,-1.5685985058,0,0,-0.1023439446,-0.91142114,-0.1609623392,-0.7458132065,0.3046998292,-0.8215100184,0.6369928516,-0.7528394482,2,0
66,-1.5182087281,0,0.7884615385,-1.3126793499,-0.5970502114,-0.6149457466,-0.6154719376,0.1042657881,0.2693021782,0.2299166428,-1.4772446508,2,0
67,-1.4426240616,1,0,0.2506705486,1.3219223325,0.1921358665,0.2410564014,-1.6495320708,-0.8435021997,-0.1771595661,-0.3503921135,0,0
68,0.3210181566,1,0,-0.3544971541,-1.022760844,0.9487748789,0.1130426551,1.9582806676,-1.4065020431,1.4511452694,-0.7125947147,0,0
69,0.6485517114,0,0,-1.5144019174,0.5807492055,-1.0184865532,0.3225196945,-2.0002916426,-0.927072489,-1.3983881927,-0.8869885598,1,0
70,1.2532290433,0,0,0.048947981,-0.0261613374,0.4947914715,-0.6247820282,0.0040487676,-1.0238380871,-0.584235775,1.2862270478,4,1
71,0.9508903773,0,0,-0.3544971541,1.1418139879,-0.8671587508,-0.5968517563,0.2044828086,1.8791298554,1.0440690605,0.5618218453,3,0
72,1.5555677093,0,0.8846153846,-0.1527745865,0.8274430592,-0.8167161499,-0.2453958346,-1.9501831323,1.0742160168,-0.9913119838,0.6691411345,0,0
73,1.1776443768,0,0,-0.8588035729,1.2673440462,-0.7662735491,-1.0227884031,0.4550253599,-0.5532054055,-0.1771595661,-0.819914004,3,0
74,-0.2584642866,0,0,2.3183268659,0.4290215697,0.8478896772,0.5157040753,0.2545913189,-0.9490646704,-0.1771595661,-1.074797316,1,0
75,-0.3844387307,0,0,0.4523931161,1.030474284,-0.3122901417,-0.8598618169,-0.0460597426,-0.2409164299,-0.584235775,0.6288964011,0,0
76,-1.2662598398,0,0,-0.5057890797,-0.4300406555,-1.4220273598,0.4482059181,0.5552423804,-0.3772679544,-0.9913119838,-1.5040744731,1,0
77,-0.4600233972,0,0,0.4523931161,2.2268303181,-0.0096345368,-0.3873747169,-1.3488810093,1.3777081199,-0.1771595661,0.5215771118,0,1
78,1.1020597103,0,0,0.8558382512,-2.2027433922,-0.7662735491,-2.4449047485,-0.0460597426,-0.5400100967,1.0440690605,-0.7528394482,4,1
79,-1.3670393951,0,0,-1.4135406337,0.6276865316,0.1921358665,-0.7178829346,0.6554594009,-0.4520413711,-0.584235775,-0.7528394482,2,0
80,-0.7623620632,0,0,-0.1023439446,-0.1877130646,0.0912506649,-0.8994297021,-1.1985554785,0.5595989725,-0.9913119838,1.7155042049,1,0
81,1.1020597103,0,0,-0.0519133028,0.3864505065,-1.3211421582,2.0355763723,0.9561104625,0.4672318107,-0.9913119838,1.0581735581,1,0
82,0.3966028231,1,0,0.2002399067,0.6517009776,-1.0689291541,0.0827848605,0.4550253599,1.5448486984,0.2299166428,0.8435349796,3,0
83,-1.1402853957,0,0.4807692308,1.1584221025,-0.2728551912,-0.2618475409,-1.2764883731,-0.4970363349,-0.4872288613,-0.9913119838,0.2666937998,3,0
84,-0.7623620632,0,0.4615384615,0.048947981,1.2848090978,-0.1105197384,1.1674104201,-1.5994235605,0.440841193,-0.1771595661,-0.1625833573,1,0
85,0.1446539347,0,0,-0.2032052284,0.5621925881,-0.7662735491,0.9602609033,-0.5972533554,-0.179338322,-1.3983881927,0.7764604238,2,1
86,0.698941489,0,0.5576923077,0.2002399067,-0.0185203773,-0.7158309483,0.4994114166,-1.098338458,2.42893439,1.0440690605,-0.6052754255,0,0
87,-0.1576847312,0,0,0.2506705486,-0.4158503011,0.0408080641,-0.9017572248,-0.7976873965,-0.2145258122,0.2299166428,-0.819914004,4,1
88,0.2706283789,0,0,0.9062688931,0.6309612288,-1.2202569565,0.1549380629,-0.0961682529,-0.3552757731,-0.9913119838,0.6288964011,1,0
89,-0.6615825079,0,0.6730769231,0.2002399067,-0.4857105075,-0.8167161499,-1.5278608204,-2.1506171733,0.0317866193,1.8582214782,0.2264490663,2,0
90,0.698941489,0,0,1.2592833863,1.0686790843,-0.3627327425,0.9300031088,-1.5994235605,0.1681381439,-0.1771595661,1.3130568701,1,1
91,-0.4600233972,0,0,-1.9682776944,-0.6756429435,0.2425784674,-0.112727043,-0.2966022939,-1.7979628718,-0.9913119838,0.3069385333,1,0
92,1.3792034875,0,0,-0.0014826609,0.4290215697,0.1921358665,-0.1918628134,0.9561104625,-0.0869711602,-0.1771595661,-0.4979561362,0,1
93,-0.5104131749,0,0,-0.0014826609,-1.0391343298,0.343463669,-0.5456462578,-1.9000746221,1.0434269629,1.8582214782,-0.8601587375,1,0
94,-0.5608029525,0,0,-0.3544971541,1.3470283441,0.5956766731,-0.4409077381,0.2545913189,1.2589503404,1.0440690605,-0.2699026465,3,0
95,-0.2584642866,0,0,-1.4639712756,-0.0217950745,-0.9680439524,-0.1988453814,-0.4469278247,-1.4372910971,1.0440690605,0.119129777,3,0
96,0.0942641571,0,0,0.3011011904,1.8207678686,0.646119274,-2.365768978,1.8580636471,-0.7379397291,0.2299166428,-0.1625833573,1,0
97,-0.6867773967,0,0,0.502823758,-0.3743708035,-1.4220273598,0.250366492,-1.3989895195,-0.5224163516,-0.1771595661,0.9910990023,0,0
98,-0.0317102871,0,0,-0.6570810054,0.3318722203,-1.2202569565,0.1316628363,0.6554594009,-0.1881351945,-0.584235775,-0.565030692,4,0
99,0.4973823784,0,0,1.5618672376,0.590573297,0.1921358665,0.1735582442,-0.1963852734,-0.6587678761,0.2299166428,-1.7992025185,1,1
100,-0.5859978414,0,0,-1.4135406337,1.3273801611,1.3018730847,0.0990775191,0.4550253599,1.4788721543,1.0440690605,-0.1625833573,2,1
101,-0.0569051759,0,0.4038461538,0.7045463255,-0.3547226205,-0.8671587508,1.0207764925,-0.3968193144,-0.7951194007,1.4511452694,-2.1211603863,4,0
